Series,TrendMAE,YearlyMAE,WeeklyMAE,TrendRMSE,YearlyRMSE,WeeklyRMSE
S1,0.0351516501794436,0.06738508529761984,,0.04222324751939948,0.07907267725342071
S2,0.179010741494319,0.06766580559485921,0.2538343560354907,0.2028414277258828,0.08860138774368662,0.3140329925487597
S3,0.2988055539725301,0.46886715050432126,0.10988105538008838,0.35258429248991036,0.5202307400430981,0.15906831467840307
S4,0.28198792670474976,0.3067443089913746,0.2805407311602672,0.3378081416958882,0.47924321959145777,0.3816805651151971
S5,0.15027987386814576,0.0907685657075018,0.19478413812955392,0.23258446502496954,0.10988749295573505,0.23315140972705195
S6,0.3712785077807412,0.7994983817100926,0.13056642935433388,0.45365615061924974,0.8885514177734302,0.1726506729964102
S7,0.28438125649702717,0.46280254876260923,0.29021062729218955,0.3459197770226709,0.6141394152080923,0.40173143633660713



 